attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,status
0,0,0,0,0,0,0,0,0,0,NotConnected
0,0,0,0,0,0,0,0,0,0,NotConnected
0,0,0,0,0,0,0,0,0,0,scanning
0,0,0,0,0,0,0,0,0,0,scanning
0,0,0,0,0,0,0,0,0,0,scanning
0,0,0,0,0,0,0,0,0,0,scanning
0,0,0,0,0,0,0,0,0,0,notscanning
0,0,0,0,0,0,0,0,0,0,notscanning
75,60,10922,7159,403,4838,4367,11459,16607,4795,connected
93,56,5080,26174,7216,3698,14500,49412,21446,11453,connected
90,64,261975,28126,18007,963,2071,4040,7522,2058,connected
84,60,94422,58628,47409,27895,23714,42539,10743,28438,connected
84,60,94422,58628,47409,27895,23714,42539,10743,28438,connected
54,90,1797332,79091,75207,44904,33226,46020,31264,12332,connected
53,81,162372,111501,18859,16587,18930,10461,8538,3772,connected
53,80,596225,19387,10105,5703,2123,9320,5005,2668,connected
41,54,132397,231757,17251,2652,24045,11732,8603,1774,connected
37,35,71187,288592,4029,47542,27600,46779,36604,18602,connected
37,40,1619763,316955,67583,70073,16285,36168,15320,8252,connected
35,37,72282,18018,1528,9969,3766,6570,5430,5222,connected
64,56,11115,6222,7906,15405,19704,39586,26130,4300,connected
64,75,374704,61921,22350,26815,12283,14862,13026,8322,connected
75,81,149700,109961,66608,42408,9704,57920,6762,5392,connected
81,77,18177,11704,2630,3360,2226,7220,3648,2216,connected
57,80,223055,139228,31707,59115,25067,22815,49693,10794,connected
74,70,28580,9891,9569,6574,28426,18330,9111,8350,connected
75,74,22647,13408,16763,5471,5591,11268,13055,8804,connected
69,74,1504242,62973,10277,19091,24482,25177,8080,20237,connected
81,67,138139,55047,13955,28128,38133,29641,27980,10415,connected
75,74,13643,13243,9177,15687,29404,12842,17381,4952,connected
75,74,48258,29278,20816,28842,11475,28302,10735,4187,connected
83,81,11072,10649,11932,9702,11957,21809,13434,7251,connected
78,97,8845,9628,26544,55950,8116,16683,9359,15732,connected
67,100,1323949,127278,118503,82693,39258,33055,39368,20549,connected
63,90,3586,9510,20759,2678,10899,26888,6317,4529,connected
60,61,63687,179906,9318,30418,36430,28982,14051,10508,connected
74,60,1155870,10067,18920,17087,11604,19136,11749,13682,connected
74,69,96224,59618,140315,46675,73192,41710,8247,26654,connected
48,69,1004671,105283,28191,43706,18342,8252,7530,3670,connected
48,69,724211,5649,8039,3380,814,781,157,120,connected
43,70,625658,33074,3528,4308,1815,3099,1712,2317,connected
13,47,2721859,1145582,50313,51409,25265,13796,14235,4905,connected
17,40,161070,1283,512,631,119,495,381,151,connected
26,51,123511,50999,53476,58886,8981,16712,9441,3253,connected
38,60,72077,26745,14602,8197,13466,12503,10282,4921,connected
63,67,25998,33895,4860,4724,10409,8792,8064,4304,connected
70,63,18840,7201,3291,4232,4023,10223,4589,2743,connected
81,61,9704,4230,9990,8818,3088,7748,5298,4523,connected
81,70,5972,5393,5755,15113,7109,5850,4513,1610,connected
80,83,424737,29012,12519,15212,8676,10679,4917,1759,connected
63,78,350633,102850,11571,18101,18111,13312,6378,942,connected
66,63,2957,11782,2602,7238,9971,9657,7586,3759,connected
69,56,70193,16624,15826,7397,4380,14035,12944,6284,connected
70,53,122686,32623,12793,16306,23033,15308,6951,6333,connected
81,67,15033,10745,11728,8182,2809,8544,3346,4301,connected
78,70,40140,17176,8127,5168,4050,9268,5262,5610,connected
78,70,40140,17176,8127,5168,4050,9268,5262,5610,connected
77,51,107990,20389,1599,3012,2167,3069,2136,691,connected
78,56,10497,7423,3054,37793,5257,14796,3735,5754,connected
80,56,71657,25414,9487,13231,7911,19250,13743,4737,connected
81,61,14129,12360,7290,2183,2339,15101,4315,2419,connected
91,64,20166,18733,2738,5873,2273,10922,6321,3410,connected
90,60,629270,15494,24041,13189,23255,12295,6959,3566,connected
90,60,629270,15494,24041,13189,23255,12295,6959,3566,connected
87,69,66791,10906,450,11203,2303,9799,4756,1807,connected
81,83,1460,12992,6681,16743,1685,8851,4827,3550,connected
74,61,311622,24794,1618,708,1170,2379,1984,476,connected
74,56,7785,9682,9696,2766,4286,8576,6846,8988,connected
69,53,24409,18167,12256,1169,9555,9329,9833,2722,connected
63,37,335244,44533,6955,4966,2676,6396,1612,548,connected
74,47,1071344,81651,22780,4837,12531,32312,9438,10195,connected
61,30,1207105,141473,16267,9954,33470,19068,22053,4066,connected
80,38,81493,30769,1362,8188,32406,40007,17752,6567,connected
67,48,309271,153962,25873,82095,39648,18288,39079,9066,connected
61,57,483508,399175,135149,48960,67359,32114,5983,42801,connected
40,34,111118,53892,533,7513,2344,1628,4186,1155,connected
13,47,79913,58981,23160,3129,11137,3671,5790,3304,connected
10,41,746461,50420,12960,6427,6573,3336,907,376,connected
10,41,746461,50420,12960,6427,6573,3336,907,376,connected
10,41,746461,50420,12960,6427,6573,3336,907,376,connected
24,67,232887,340574,214586,158367,18023,40527,22343,11107,connected
29,70,79667,6185,3871,566,2969,871,797,393,connected
21,67,105179,251190,48337,62241,53555,13198,6470,2915,connected
30,70,1061430,176010,163191,74086,72112,88015,25063,14246,connected
38,75,388002,13240,17232,11394,2036,5375,2556,2622,connected
40,80,17940,44734,23198,26850,27287,8686,9144,5574,connected
56,81,72378,38900,11599,23265,27933,19712,7912,4791,connected
57,75,142931,10648,3013,5067,6165,4936,1508,1898,connected
61,53,611371,194405,22001,29075,22088,48781,25924,17210,connected
64,44,454934,83608,20431,20516,22142,18702,14928,6639,connected
56,40,47435,49165,9917,5827,8630,5848,2619,746,connected
